WORD	GRAMMATICAL_CATEGORY	GENDER	PRESENT_TENSE_CATEGORY	FUTURE_TENSE_CATEGORY	PAST_TENSE_CATEGORY
ಕುತ್ಸಿತ  	J				
ಕುದಿ	V	 	2R	2F	9S
ಕುದಿಸು	V	 	1R	1F	9S
ಕುದುರೆ	N	X	8		
ಕುದುರೆ	N	X	9		
ಕುಪಿತ	J				
ಕುಪ್ರಸಿದ್ಧ  	J				
ಕುರಿತು	A				
ಕುಲೀನ	J				
ಕುಲುಕು	V	 	1R	1F	9S
ಕುಳಿತಿರು	V	 	1R	1F	6S
ಕುಳಿಸು	V	 	1R	1F	9S
ಕುಳ್ಳರಿಸು	V	 	1R	1F	9S
ಕುಸಿ	V	 	2R	2F	9S
ಕೂಗು	V	 	1R	1F	9S
ಕೂಡ	D				
ಕೂಡಲೆ	D				
ಕೂಡಲೇ	A				
ಕೂಡಿಬರು	V	 	1R	1F	9S
ಕೂಡಿಸು	V	 	1R	1F	9S
ಕೂಡು	V	 	1R	1F	9S
ಕೂಯಿ	V	 	1R	1F	9S
ಕೂಯಿಸು	V	 	1R	1F	9S
ಕೂರು	V	 	1R	1F	9S
ಕೂಲಂಕಷ	J				
ಕೃತಯುಗ	N	X	5		
ಕೃಶ 	J				
ಕೆಚ್ಚು	V	 	1R	1F	9S
ಕೆಡಲಿಲ್ಲ	J				
ಕೆಡಿಸು	V	 	1R	1F	9S
ಕೆಡು	V	 	1R	1F	5S
ಕೆಡುವು	V	 	1R	1F	9S
ಕೆಣಕು	V	 	1R	1F	9S
ಕೆತ್ತು	V	 	1R	1F	9S
ಕೆದಕು	V	 	1R	1F	9S
ಕೆದರು	V	 	1R	1F	9S
ಕೆದುಕು	V	 	1R	1F	9S
ಕೆಮ್ಮಗೆ 	D				
ಕೆಮ್ಮು	V	 	1R	1F	9S
ಕೆರಳು	V	 	1R	1F	9S
ಕೆರಿ	V	 	2R	2F	9S
ಕೆರೆ	V	 	2R	2F	9S
ಕೆಲವು	A				
ಕೆಳಗೆ  	D				
ಕೇಯು	V	 	1R	1F	9S
ಕೇರು	V	 	1R	1F	9S
ಕೇಳಿಕೊಂಡ	V	 	1R	1F	2S
ಕೇಳಿದ	V	 	2R	2F	6S
ಕೇಳಿದುದನ್ನು	J				
ಕೇಳು	V	 	1R	1F	9S
ಕೈತಪ್ಪಿಸು	V	 	1R	1F	9S
ಕೈದಕ್ಕು	V	 	1R	1F	9S
ಕೈನಿಲುಕು	V	 	1R	1F	9S
ಕೈಸೇರು	V	 	1R	1F	9S
ಕೈಹತ್ತು	V	 	1R	1F	9S
ಕೊಂಚ	J				
ಕೊಂಡು	V	 	1R	1F	9S
ಕೊಚ್ಚು	V	 	1R	1F	9S
ಕೊಟ್ಟು	V	 	1R	1F	5S
ಕೊಟ್ಟೇಬಿಟ್ಟ	V	 	1R	1F	5S
ಕೊಡಬೇಡ	D				
ಕೊಡಬೇಡ	V	 	2R	2F	9S
ಕೊಡಿಸು	V	 	1R	1F	9S
ಕೊಡು	V	 	1R	1F	5S
ಕೊಡುಗೈ	J				
ಕೊಡುವಂತೆ	D				
ಕೊನೆಗೆ	A				
ಕೊರೆ	V	 	2R	2F	9S
ಕೊಲ್ಲು	V	 	1R	1F	1S
