TOKEN_NO	TOKEN	PREFIX	STEM	SUFFIX	STATUS
128	ಮಣ್ಣಿಗೆ	-	ಮಣ್ಣಿ	ಗೆ	Root word is not in the lexicon
129	ಮೈನೀರು	-	ಮೈನೀ	ರು	Root word is not in the lexicon
129	ಮೈನೀರು	-	ಮೈನೀ	ರು	Root word is not in the lexicon
130	ಹುಯ್ಯೋದಿಕೆ	-	ಹುಯ್ಯೋದಿಕೆ	-	Root word is not in the lexicon
131	ಮಾತಾಡೋಕೆ	-	ಮಾತಾಡೋಕೆ	-	Root word is not in the lexicon
132	ಕೂರೋದಕೆ	-	ಕೂರೋದಕೆ	-	Root word is not in the lexicon
133	ಮಲಗೋದಕೆ	-	ಮಲಗೋದಕೆ	-	Root word is not in the lexicon
134	ಹಾಡೋದಕೆ	-	ಹಾಡೋದಕೆ	-	Root word is not in the lexicon
136	ಎಂಡೇ	-	ಎಂ	ಡೇ	Root word is not in the lexicon
136	ಎಂಡೇ	-	ಎಂ	ಡೇ	Root word is not in the lexicon
137	ಬೋರೆತಾಯಿಯೇ	-	ಬೋರೆತಾಯಿಯೇ	-	Root word is not in the lexicon
138	ದಿಕ್ಕಾಗಿದ್ದಳು	-	ದಿಕ್ಕಾಗಿ	ದ್ದಳು	Root word is not in the lexicon
138	ದಿಕ್ಕಾಗಿದ್ದಳು	-	ದಿಕ್ಕಾಗಿದ್ದ	ಳು	Root word is not in the lexicon
138	ದಿಕ್ಕಾಗಿದ್ದಳು	-	ದಿಕ್ಕಾಗಿದ್ದ	ಳು	Root word is not in the lexicon
139	ಇವಳ	-	ಇವ	ಳ	Root word is not in the lexicon
139	ಇವಳ	-	ಇವ	ಳ	Root word is not in the lexicon
141	ತನಗಿರೋ	-	ತನಗಿರೋ	-	Root word is not in the lexicon
142	ಸಂಬಂಧವ	-	ಸಂಬಂಧ	ವ	Root word is not in the lexicon
142	ಸಂಬಂಧವ	-	ಸಂಬಂಧ	ವ	Root word is not in the lexicon
142	ಸಂಬಂಧವ	-	ಸಂಬಂಧ	ವ	Root word is not in the lexicon
143	ಅಳೆಯೋದಿಕಾಗುತಾ	ಅ	ಳೆಯೋದಿಕಾಗುತಾ	-	Root word is not in the lexicon
143	ಅಳೆಯೋದಿಕಾಗುತಾ	ಅ	ಳೆಯೋದಿಕಾಗುತಾ	-	Root word is not in the lexicon
144	ಇಂಥ	-	ಇಂಥ	-	Root word is not in the lexicon
145	ಅವ್ವನ	ಅವ	್ವನ	-	Root word is not in the lexicon
145	ಅವ್ವನ	-	ಅವ್ವ	ನ	Root word is not in the lexicon
145	ಅವ್ವನ	-	ಅವ್ವ	ನ	Root word is not in the lexicon
145	ಅವ್ವನ	ಅವ	್ವ	ನ	Root word is not in the lexicon
146	ನರಮನುಷರು	-	ನರಮನುಷ	ರು	Root word is not in the lexicon
146	ನರಮನುಷರು	-	ನರಮನುಷ	ರು	Root word is not in the lexicon
147	ಬುಡುತಿಲ	-	ಬುಡುತಿಲ	-	Root word is not in the lexicon
148	ಆಸರೆ	-	ಆಸರೆ	-	Root word is not in the lexicon
149	ಪಿರೀತಿ	-	ಪಿರೀತಿ	-	Root word is not in the lexicon
150	ತಾಳುಮೆ	-	ತಾಳುಮೆ	-	Root word is not in the lexicon
151	ಶಕುತಿಗಳ	-	ಶಕುತಿ	ಗಳ	Root word is not in the lexicon
151	ಶಕುತಿಗಳ	-	ಶಕುತಿಗ	ಳ	Root word is not in the lexicon
151	ಶಕುತಿಗಳ	-	ಶಕುತಿಗ	ಳ	Root word is not in the lexicon
152	ಕಿತುತಿನೊ	-	ಕಿತುತಿನೊ	-	Root word is not in the lexicon
153	ಕಿರಾತಕರು	-	ಕಿರಾತಕ	ರು	Root word is not in the lexicon
153	ಕಿರಾತಕರು	-	ಕಿರಾತಕ	ರು	Root word is not in the lexicon
154	ಇವರೆಲ	-	ಇವರೆಲ	-	Root word is not in the lexicon
155	ಒಡಲೊಳಗೆ	-	ಒಡಲೊಳ	ಗೆ	Root word is not in the lexicon
155	ಒಡಲೊಳಗೆ	-	ಒಡಲೊಳ	ಗೆ	Root word is not in the lexicon
156	ಭೀತಿಯ	-	ಭೀತಿ	ಯ	Root word is not in the lexicon
156	ಭೀತಿಯ	-	ಭೀತಿ	ಯ	Root word is not in the lexicon
156	ಭೀತಿಯ	-	ಭೀತಿ	ಯ	Root word is not in the lexicon
157	ನೆಳ್ಳ	-	ನೆ	ಳ್ಳ	Root word is not in the lexicon
157	ನೆಳ್ಳ	-	ನೆಳ್	ಳ	Root word is not in the lexicon
157	ನೆಳ್ಳ	-	ನೆಳ್	ಳ	Root word is not in the lexicon
158	ಮೂಡಿಸಿ	-	ಮೂಡಿಸಿ	-	Root word is not in the lexicon
159	ನಡೆಸೋ	-	ನಡೆಸೋ	-	Root word is not in the lexicon
160	ಕಾರುಭಾರುಗಳ	-	ಕಾರುಭಾರು	ಗಳ	Root word is not in the lexicon
160	ಕಾರುಭಾರುಗಳ	-	ಕಾರುಭಾರುಗ	ಳ	Root word is not in the lexicon
160	ಕಾರುಭಾರುಗಳ	-	ಕಾರುಭಾರುಗ	ಳ	Root word is not in the lexicon
161	ನೆನೆದರೆ	-	ನೆನೆದರೆ	-	Root word is not in the lexicon
162	ಜುಂ	-	ಜುಂ	-	Root word is not in the lexicon
164	ಜಡೆಮುನಿಗುಡ್ಡದ	-	ಜಡೆಮುನಿಗುಡ್ಡ	ದ	Root word is not in the lexicon
164	ಜಡೆಮುನಿಗುಡ್ಡದ	-	ಜಡೆಮುನಿಗುಡ್ಡ	ದ	Root word is not in the lexicon
164	ಜಡೆಮುನಿಗುಡ್ಡದ	-	ಜಡೆಮುನಿಗುಡ್ಡ	ದ	Root word is not in the lexicon
164	ಜಡೆಮುನಿಗುಡ್ಡದ	-	ಜಡೆಮುನಿಗುಡ್ಡ	ದ	Root word is not in the lexicon
165	ಮೇಲಿದ್ದ	-	ಮೇಲಿದ್	ದ	Root word is not in the lexicon
165	ಮೇಲಿದ್ದ	-	ಮೇಲಿದ್	ದ	Root word is not in the lexicon
165	ಮೇಲಿದ್ದ	-	ಮೇಲಿದ್	ದ	Root word is not in the lexicon
165	ಮೇಲಿದ್ದ	-	ಮೇಲಿದ್	ದ	Root word is not in the lexicon
166	ಭೀತಿ	-	ಭೀತಿ	-	Root word is not in the lexicon
167	ಭ್ರಮೆ	-	ಭ್ರಮೆ	-	Root word is not in the lexicon
168	ಕರಗಿಹೋಯಿತು	-	ಕರಗಿಹೋ	ಯಿತು	Root word is not in the lexicon
168	ಕರಗಿಹೋಯಿತು	-	ಕರಗಿಹೋ	ಯಿತು	Root word is not in the lexicon
168	ಕರಗಿಹೋಯಿತು	-	ಕರಗಿಹೋ	ಯಿತು	Root word is not in the lexicon
169	ಅಪಾರ	ಅಪ	ಾರ	-	Root word is not in the lexicon
169	ಅಪಾರ	-	ಅಪಾ	ರ	Root word is not in the lexicon
169	ಅಪಾರ	-	ಅಪಾ	ರ	Root word is not in the lexicon
169	ಅಪಾರ	ಅಪ	ಾ	ರ	Root word is not in the lexicon
170	ತಾಳುಮೆಗೆ	-	ತಾಳುಮೆ	ಗೆ	Root word is not in the lexicon
170	ತಾಳುಮೆಗೆ	-	ತಾಳುಮೆ	ಗೆ	Root word is not in the lexicon
171	ತಲೆಯೊಡ್ಡಿ	-	ತಲೆಯೊಡ್ಡಿ	-	Root word is not in the lexicon
172	ಹೆಜ್ಜೆ	-	ಹೆಜ್ಜೆ	-	Root word is not in the lexicon
173	ಹಾಕತೊಡಗಿದ	-	ಹಾಕತೊಡಗಿ	ದ	Root word is not in the lexicon
173	ಹಾಕತೊಡಗಿದ	-	ಹಾಕತೊಡಗಿ	ದ	Root word is not in the lexicon
173	ಹಾಕತೊಡಗಿದ	-	ಹಾಕತೊಡಗಿ	ದ	Root word is not in the lexicon
173	ಹಾಕತೊಡಗಿದ	-	ಹಾಕತೊಡಗಿ	ದ	Root word is not in the lexicon
174	ಮಳ್ಳಿಯಂಗೆ	-	ಮಳ್ಳಿಯಂ	ಗೆ	Root word is not in the lexicon
174	ಮಳ್ಳಿಯಂಗೆ	-	ಮಳ್ಳಿಯಂ	ಗೆ	Root word is not in the lexicon
175	ಮಲಗಿರೊ	-	ಮಲಗಿರೊ	-	Root word is not in the lexicon
177	ತಿಳೀದ್ಯಾವುದು	-	ತಿಳೀದ್ಯಾವು	ದು	Root word is not in the lexicon
177	ತಿಳೀದ್ಯಾವುದು	-	ತಿಳೀದ್ಯಾ	ವುದು	Root word is not in the lexicon
